Date,inflation: (United States)
7/4/2021,24
7/11/2021,35
7/18/2021,28
7/25/2021,26
8/1/2021,22
8/8/2021,27
8/15/2021,24
8/22/2021,23
8/29/2021,23
9/5/2021,23
9/12/2021,29
9/19/2021,27
9/26/2021,30
10/3/2021,30
10/10/2021,38
10/17/2021,36
10/24/2021,39
10/31/2021,35
11/7/2021,69
11/14/2021,52
11/21/2021,35
11/28/2021,37
12/5/2021,49
12/12/2021,47
12/19/2021,33
12/26/2021,29
1/2/2022,31
1/9/2022,52
1/16/2022,37
1/23/2022,49
1/30/2022,37
2/6/2022,68
2/13/2022,47
2/20/2022,41
2/27/2022,42
3/6/2022,72
3/13/2022,47
3/20/2022,41
3/27/2022,39
4/3/2022,40
4/10/2022,83
4/17/2022,44
4/24/2022,41
5/1/2022,49
5/8/2022,85
5/15/2022,56
5/22/2022,41
5/29/2022,44
6/5/2022,94
6/12/2022,100
6/19/2022,52
6/26/2022,43
