Date,market crash: (United States)
7/4/2021,19
7/11/2021,20
7/18/2021,19
7/25/2021,17
8/1/2021,15
8/8/2021,15
8/15/2021,15
8/22/2021,15
8/29/2021,14
9/5/2021,16
9/12/2021,15
9/19/2021,22
9/26/2021,19
10/3/2021,21
10/10/2021,15
10/17/2021,17
10/24/2021,16
10/31/2021,17
11/7/2021,19
11/14/2021,18
11/21/2021,16
11/28/2021,22
12/5/2021,18
12/12/2021,17
12/19/2021,11
12/26/2021,12
1/2/2022,18
1/9/2022,19
1/16/2022,29
1/23/2022,37
1/30/2022,19
2/6/2022,18
2/13/2022,21
2/20/2022,38
2/27/2022,20
3/6/2022,24
3/13/2022,21
3/20/2022,22
3/27/2022,19
4/3/2022,19
4/10/2022,19
4/17/2022,21
4/24/2022,23
5/1/2022,28
5/8/2022,43
5/15/2022,27
5/22/2022,23
5/29/2022,31
6/5/2022,23
6/12/2022,41
6/19/2022,21
6/26/2022,100
