Date,recession: (United States)
7/4/2021,3
7/11/2021,4
7/18/2021,4
7/25/2021,3
8/1/2021,3
8/8/2021,3
8/15/2021,3
8/22/2021,3
8/29/2021,3
9/5/2021,3
9/12/2021,4
9/19/2021,5
9/26/2021,5
10/3/2021,5
10/10/2021,5
10/17/2021,5
10/24/2021,5
10/31/2021,5
11/7/2021,5
11/14/2021,5
11/21/2021,3
11/28/2021,5
12/5/2021,5
12/12/2021,5
12/19/2021,3
12/26/2021,3
1/2/2022,4
1/9/2022,4
1/16/2022,5
1/23/2022,7
1/30/2022,5
2/6/2022,6
2/13/2022,6
2/20/2022,6
2/27/2022,7
3/6/2022,16
3/13/2022,13
3/20/2022,10
3/27/2022,14
4/3/2022,20
4/10/2022,22
4/17/2022,14
4/24/2022,27
5/1/2022,24
5/8/2022,26
5/15/2022,36
5/22/2022,26
5/29/2022,21
6/5/2022,46
6/12/2022,100
6/19/2022,59
6/26/2022,32
