Date,War
1/1/2022,12
1/2/2022,13
1/3/2022,12
1/4/2022,12
1/5/2022,12
1/6/2022,13
1/7/2022,13
1/8/2022,13
1/9/2022,13
1/10/2022,13
1/11/2022,13
1/12/2022,13
1/13/2022,14
1/14/2022,14
1/15/2022,13
1/16/2022,13
1/17/2022,13
1/18/2022,14
1/19/2022,15
1/20/2022,16
1/21/2022,15
1/22/2022,14
1/23/2022,15
1/24/2022,20
1/25/2022,21
1/26/2022,20
1/27/2022,19
1/28/2022,17
1/29/2022,15
1/30/2022,15
1/31/2022,15
2/1/2022,15
2/2/2022,15
2/3/2022,15
2/4/2022,14
2/5/2022,14
2/6/2022,15
2/7/2022,16
2/8/2022,14
2/9/2022,14
2/10/2022,14
2/11/2022,16
2/12/2022,15
2/13/2022,15
2/14/2022,14
2/15/2022,17
2/16/2022,16
2/17/2022,17
2/18/2022,16
2/19/2022,16
2/20/2022,18
2/21/2022,18
2/22/2022,24
2/23/2022,22
2/24/2022,100
2/25/2022,74
2/26/2022,58
2/27/2022,53
2/28/2022,50
3/1/2022,45
3/2/2022,40
3/3/2022,36
3/4/2022,36
3/5/2022,31
3/6/2022,33
3/7/2022,35
3/8/2022,31
3/9/2022,30
3/10/2022,29
3/11/2022,26
3/12/2022,24
3/13/2022,28
3/14/2022,26
3/15/2022,25
3/16/2022,26
3/17/2022,25
3/18/2022,22
3/19/2022,19
3/20/2022,22
3/21/2022,22
3/22/2022,23
3/23/2022,22
3/24/2022,23
3/25/2022,21
3/26/2022,18
3/27/2022,19
3/28/2022,20
3/29/2022,21
3/30/2022,20
3/31/2022,20
