Category: All categories,,,,
,,,,
Week,inflation: (United States),Recession: (United States),stocks: (United States),interest rates: (United States)
7/4/2021,19,3,79,15
7/11/2021,28,3,80,15
7/18/2021,23,3,78,14
7/25/2021,21,3,73,14
8/1/2021,18,2,72,15
8/8/2021,21,2,75,13
8/15/2021,19,3,70,13
8/22/2021,19,3,72,14
8/29/2021,18,3,71,15
9/5/2021,19,3,65,13
9/12/2021,23,4,65,13
9/19/2021,22,5,70,15
9/26/2021,24,5,72,16
10/3/2021,24,5,77,16
10/10/2021,30,5,71,15
10/17/2021,29,5,82,16
10/24/2021,31,5,97,17
10/31/2021,28,5,97,20
11/7/2021,55,5,99,20
11/14/2021,41,5,94,19
11/21/2021,28,3,78,14
11/28/2021,29,5,90,16
12/5/2021,39,5,76,16
12/12/2021,38,5,75,19
12/19/2021,26,3,64,12
12/26/2021,23,3,77,13
1/2/2022,25,4,86,17
1/9/2022,42,3,79,20
1/16/2022,30,4,80,21
1/23/2022,39,6,96,30
1/30/2022,30,5,85,21
2/6/2022,55,5,76,23
2/13/2022,38,6,73,24
2/20/2022,33,6,89,21
2/27/2022,33,7,79,23
3/6/2022,58,16,89,23
3/13/2022,37,13,71,37
3/20/2022,33,9,72,27
3/27/2022,31,14,76,26
4/3/2022,32,20,73,28
4/10/2022,66,21,71,29
4/17/2022,35,14,71,30
4/24/2022,33,29,73,28
5/1/2022,40,24,71,55
5/8/2022,68,26,79,28
5/15/2022,45,35,70,23
5/22/2022,33,26,60,22
5/29/2022,35,21,51,23
6/5/2022,76,45,65,24
6/12/2022,80,100,71,81
6/19/2022,42,61,57,31
6/26/2022,31,33,43,24
