new_date_column,average compound score per date,median compound score per date
1/1/2022,0.082169106,0
1/2/2022,0.2611264,0.2023
1/3/2022,0.19664881,0.0258
1/4/2022,0.120353709,0
1/5/2022,0.134196296,0
1/6/2022,0.025111979,0
1/7/2022,-0.04430719,0
1/8/2022,-0.047038372,0
1/9/2022,0.078266279,0
1/10/2022,0.072969388,0
1/11/2022,0.147080791,0
1/12/2022,0.112780172,0
1/13/2022,0.048733054,0
1/14/2022,0.063140773,0
1/15/2022,0.03677156,0
1/16/2022,0.129748333,0
1/17/2022,0.107895714,0
1/18/2022,0.086020952,0
1/19/2022,0.01068,0
1/20/2022,0.023239437,0
1/21/2022,-0.127784191,0
1/22/2022,-0.200467376,0
1/23/2022,0.047739474,0.0258
1/24/2022,-0.125277358,0
1/25/2022,-0.020488235,0
1/26/2022,0.012831197,0
1/27/2022,0.094540909,0
1/28/2022,-0.21836948,-0.3182
1/29/2022,-0.089319259,-0.0516
1/30/2022,0.15842459,0
1/31/2022,-0.20652898,0
2/1/2022,0.024387119,0
2/2/2022,0.165217318,0.1779
2/3/2022,0.119749693,0
2/4/2022,0.030762406,0
2/5/2022,0.154124528,0
2/6/2022,0.201452273,0.23775
2/7/2022,0.173479762,0
2/8/2022,0.10779375,0
2/9/2022,0.154150365,0
2/10/2022,0.099204848,0
2/11/2022,0.007645833,0
2/12/2022,-0.065017347,0
2/13/2022,-0.010275,0
2/14/2022,-0.154371053,-0.2776
2/15/2022,0.038,0
2/16/2022,0.025877064,0
2/17/2022,-0.066076571,0
2/18/2022,-0.154929452,0
2/19/2022,-0.095818182,0
2/20/2022,-0.08389434,0
2/21/2022,-0.082688235,0
2/22/2022,-0.16607322,0
2/23/2022,-0.106160833,0
2/24/2022,-0.044775227,0
2/25/2022,0.445771809,0.5574
2/26/2022,0.302809091,0.368
2/27/2022,0.034983333,0
2/28/2022,-0.042974251,0
3/1/2022,-0.072221505,0
3/2/2022,-0.128162805,0
3/3/2022,0.016004762,0
3/4/2022,-0.053464286,0
3/5/2022,-0.015810345,0
3/6/2022,0.065408065,0
3/7/2022,-0.123090449,0
3/8/2022,-0.167306731,0
3/9/2022,0.100883636,0
3/10/2022,-0.158608867,-0.2023
3/11/2022,-0.107997297,0
3/12/2022,-0.178115294,-0.128
3/13/2022,-0.207506838,-0.128
3/14/2022,0.076774468,0
3/15/2022,-0.011495533,0
3/16/2022,0.089129694,0
3/17/2022,0.162807834,0
3/18/2022,0.300201418,0.34
3/19/2022,0.2251375,0.15905
3/20/2022,0.201344156,0
3/21/2022,0.118401136,0
3/22/2022,0.179794083,0
3/23/2022,0.14304589,0
3/24/2022,0.156446377,0
3/25/2022,0.129276207,0
3/26/2022,0.065475229,0
3/27/2022,0.120586585,0
3/28/2022,0.162422826,0
3/29/2022,0.307204206,0.34
3/30/2022,0.15964709,0.0516
3/31/2022,0.441675,0.5039
