UNDERLYING_LAST,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE
477.47,1/7/2022,3.17,0.023,0.01017,0.02686,-0.02841,0.00112,0.10755,945.0,0.05,488.0,0.022,10.53
477.47,1/7/2022,3.17,0.03244,0.0138,0.03645,-0.0391,0.0014,0.10587,929.0,0.07,487.0,0.02,9.53
477.47,1/7/2022,3.17,0.01355,0.00664,0.0175,-0.01714,0.00072,0.10644,616.0,0.03,489.0,0.024,11.53
467.69,1/7/2022,1.23,0.4815,0.06841,0.1364,-0.69786,0.01158,0.17024,4512.0,2.17,468.0,0.001,0.31
467.69,1/7/2022,1.23,0.4103,0.06925,0.13296,-0.64939,0.01054,0.16404,7511.0,1.67,469.0,0.003,1.31
477.47,1/7/2022,3.17,0.13568,0.0422,0.10827,-0.13578,0.00656,0.10471,2881.0,0.38,483.0,0.012,5.53
477.47,1/7/2022,3.17,0.18459,0.05108,0.13224,-0.1719,0.00877,0.10577,4546.0,0.53,482.0,0.009,4.53
477.47,1/7/2022,3.17,0.09724,0.03349,0.0857,-0.1033,0.00477,0.10417,2277.0,0.22,484.0,0.014,6.53
477.47,1/7/2022,3.17,0.04522,0.01875,0.04795,-0.05286,0.00194,0.10333,907.0,0.1,486.0,0.018,8.53
477.47,1/7/2022,3.17,0.06824,0.0257,0.06625,-0.07637,0.00351,0.10429,3151.0,0.15,485.0,0.016,7.53
476.06,1/7/2022,4.1,0.04736,0.01851,0.05559,-0.0484,0.0029,0.0973,2227.0,0.09,485.0,0.019,8.94
476.06,1/7/2022,4.1,0.03173,0.01326,0.03903,-0.03306,0.00174,0.0968,1118.0,0.07,486.0,0.021,9.94
476.06,1/7/2022,4.1,0.06731,0.02449,0.07233,-0.06493,0.00388,0.0963,2041.0,0.15,484.0,0.017,7.94
476.06,1/7/2022,4.1,0.13684,0.04019,0.12069,-0.11942,0.00845,0.09981,1175.0,0.38,482.0,0.012,5.94
476.06,1/7/2022,4.1,0.09709,0.0321,0.09485,-0.09039,0.00604,0.09783,1322.0,0.25,483.0,0.015,6.94
467.69,1/7/2022,1.23,0.60998,0.06176,0.13185,-0.70701,0.01463,0.18145,2189.0,3.46,466.0,0.004,-1.69
467.69,1/7/2022,1.23,0.54873,0.0659,0.13529,-0.71527,0.01407,0.17572,4486.0,2.79,467.0,0.001,-0.69
467.69,1/7/2022,1.23,0.66935,0.05782,0.12394,-0.65864,0.01628,0.18326,1474.0,4.45,465.0,0.006,-2.69
476.06,1/7/2022,4.1,0.02215,0.00979,0.03009,-0.02516,0.00119,0.09915,435.0,0.05,487.0,0.023,10.94
476.06,1/7/2022,4.1,0.01721,0.00767,0.02463,-0.02066,0.00108,0.10233,298.0,0.03,488.0,0.025,11.94
467.69,1/7/2022,1.23,0.0653,0.02355,0.0433,-0.13404,0.00121,0.15888,2541.0,0.16,476.0,0.018,8.31
467.69,1/7/2022,1.23,0.04958,0.01839,0.03484,-0.10332,0.00096,0.16305,3170.0,0.11,477.0,0.02,9.31
467.69,1/7/2022,1.23,0.0876,0.02996,0.05487,-0.1776,0.00183,0.15596,6219.0,0.22,475.0,0.016,7.31
467.69,1/7/2022,1.23,0.16073,0.0461,0.08394,-0.3167,0.00364,0.15465,4022.0,0.45,473.0,0.011,5.31
467.69,1/7/2022,1.23,0.11869,0.03766,0.06824,-0.23726,0.00319,0.15386,3911.0,0.31,474.0,0.013,6.31
467.66,1/7/2022,0.17,0.00443,0.00315,0.00306,-0.0054,-0.00034,0.16832,286.0,0.01,478.0,0.022,10.34
467.66,1/7/2022,0.17,0.00416,0.00369,0.00353,-0.00528,-0.00017,0.1533,1244.0,0.01,477.0,0.02,9.34
467.66,1/7/2022,0.17,0.00357,0.00268,0.00283,-0.00521,-0.00033,0.18253,158.0,0.01,479.0,0.024,11.34
467.69,1/7/2022,1.23,0.03763,0.01429,0.02825,-0.07792,0.00055,0.16658,2178.0,0.08,478.0,0.022,10.31
467.69,1/7/2022,1.23,0.02848,0.0112,0.02223,-0.06082,0.00052,0.17115,888.0,0.06,479.0,0.024,11.31
477.47,1/7/2022,3.17,0.45197,0.06927,0.19478,-0.29089,0.02179,0.11675,8292.0,1.93,478.0,0.001,0.53
477.47,1/7/2022,3.17,0.5212,0.06753,0.19643,-0.30018,0.02504,0.12121,4586.0,2.5,477.0,0.001,-0.47
