text,user,location,date
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,AndreviusB,"Los Angeles, CA",2022-03-31 00:59:52+00:00
"RT @TeamofStockTra: Good evening, y’all. Happy Hump Day! 🐪

Stocks got clipped on Wednesday. ✂️ The Russell 2K retreated 1.97% and the Nasd…",AkramMSiddique,Washington DC,2022-03-31 00:54:36+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",wj93224929,,2022-03-31 00:54:33+00:00
"Good evening, y’all. Happy Hump Day! 🐪

Stocks got clipped on Wednesday. ✂️ The Russell 2K retreated 1.97% and the… https://t.co/QMpsx2vdzJ",TeamofStockTra,Washington DC,2022-03-31 00:53:31+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Chazzl3dazzl3,Orange County,2022-03-31 00:47:44+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,4E93C4B107FEA2,"New York, NY",2022-03-31 00:46:48+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Lavorgnanomics,New York City,2022-03-31 00:46:19+00:00
RT @EvaOvejeroMS: US stocks continue recent rally on Tuesday as S&amp;P 500 gains for the ninth time in past eleven sessions. Read more in the…,ValenzuelaMayer,"Madrid, Comunidad de Madrid",2022-03-31 00:36:17+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",baystwarrior,Canada,2022-03-31 00:35:30+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,MaxGottlich,"Manhattan, NY",2022-03-31 00:33:52+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",RiskVigilante,"New York, NY",2022-03-31 00:29:31+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,minotaur887,NYC,2022-03-31 00:27:02+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",vivekvardan,India,2022-03-31 00:17:24+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,ChrisLimBT,Singapore,2022-03-31 00:12:10+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,SteveMHamer1,,2022-03-31 00:11:19+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Chartislife,,2022-03-31 00:11:12+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,silver_yukon,,2022-03-31 00:08:56+00:00
"📢Update on S&amp;P 500 momentum stocks

📈Stock return +0.69% Vs $SPX -0.63%. 
 
Top 3 stocks:
$VLO  3.95%
$MPC  2.67%… https://t.co/6b7nX56sfk",TradeInMomentum,,2022-03-31 00:03:53+00:00
"RT @techpearce2: Tesla is one of only 11 stocks in the S&amp;P 500, excluding energy, that enjoys this critical support https://t.co/k7C8N1q4ZI",bungobot1,In your book,2022-03-31 00:02:07+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,sonnyrico,Milky Way,2022-03-31 00:00:53+00:00
Berkshire Hathaway is up +20.01% year to date compared to the S&amp;P 500 -4.68%. Berkshire’s Warren Buffet has also be… https://t.co/o1ZL8xJsYg,TheTechTraders,,2022-03-31 00:00:23+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",RishiPatel101,"Austin, TX",2022-03-30 23:59:37+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Space_Pinata,"Minnesota, USA",2022-03-30 23:51:40+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,JonWolfenbarger,,2022-03-30 23:51:07+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",dansaikaley_CPA,Ottawa Canada,2022-03-30 23:43:32+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,TheMRLCo,,2022-03-30 23:41:45+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",emdwntwn_Baird,Milwaukee ,2022-03-30 23:40:35+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,IskandarNorazli,"Shah Alam, Malaysia",2022-03-30 23:38:24+00:00
5 of the Best Canadian S&amp;P 500 ETFS to Own Today https://t.co/75kzjH3Gmf #investing #money #trading #stockmarket… https://t.co/roQbDcYIpK,StockTrades_CA,Calgary Alberta Canada,2022-03-30 23:37:14+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",paulbardash,,2022-03-30 23:35:39+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Cjmussallem,United States,2022-03-30 23:35:33+00:00
"Tesla is one of only 11 stocks in the S&amp;P 500, excluding energy, that enjoys this critical support https://t.co/k7C8N1q4ZI",techpearce2,"Manchester, England",2022-03-30 23:35:05+00:00
"The Dow, S&amp;P 500 and Nasdaq have now suffered a ‘death cross’. The last time all three of these indexes endured thi… https://t.co/yBNuZDBoc9",wdmorgan2,,2022-03-30 23:35:00+00:00
RT @CNBC: U.S. stocks slid on Wednesday after rallying in the previous session as investors monitored developments in Ukraine and the bond…,doogu_v,🐯🐰🐶🦊,2022-03-30 23:32:46+00:00
"RT @YahooFinance: Stocks fall to end 4-day winning streak: S&amp;P 500 drops 0.6%, Nasdaq declines by 1.2% https://t.co/WTxIY81d9T by @emily_mc…",theaveragevoter,Chicago ,2022-03-30 23:32:04+00:00
"RT @ISABELNET_SA: 🇺🇸 EPS Growth

Should investors be worried about S&amp;P 500 EPS growth?
👉 https://t.co/aDsUtolLHx

h/t @SoberLook #markets #…",JJ1509_chinovas,,2022-03-30 23:27:35+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Pachao45,,2022-03-30 23:26:22+00:00
"RT @ISABELNET_SA: 🇺🇸 EPS Growth

Should investors be worried about S&amp;P 500 EPS growth?
👉 https://t.co/aDsUtolLHx

h/t @SoberLook #markets #…",YouCanFoolMost,"Boise, ID",2022-03-30 23:21:29+00:00
RT @CNBC: U.S. stocks slid on Wednesday after rallying in the previous session as investors monitored developments in Ukraine and the bond…,JacobERAllen,,2022-03-30 23:20:47+00:00
"RT @ISABELNET_SA: 🇺🇸 EPS Growth

Should investors be worried about S&amp;P 500 EPS growth?
👉 https://t.co/aDsUtolLHx

h/t @SoberLook #markets #…",MMT05490270,,2022-03-30 23:20:46+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,MolderMartin,,2022-03-30 23:19:52+00:00
RT @CNBC: U.S. stocks slid on Wednesday after rallying in the previous session as investors monitored developments in Ukraine and the bond…,strawberrypiyo,,2022-03-30 23:19:38+00:00
"RT @EconomySquare: 📈 S&amp;P 500, Nasdaq 100 Slip on Inflation Jitters as Geopolitical Risk Boosts Oil Prices 📉

By @CraftyFin

https://t.co/M9…",tradersreport,worldwide,2022-03-30 23:18:50+00:00
"RT @DrivingTheDay: Mar 30 #DJIA -0.19%, S&amp;P 500 -0.63%, #Nasdaq Composite -1.21% https://t.co/vHr4MsvSaA #stocks #investors #StockMarket #i…",johnmpoole,"42.050386, -87.671760",2022-03-30 23:16:38+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,MMT05490270,,2022-03-30 23:15:56+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",billlionnaire,,2022-03-30 23:14:51+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,qianwenx,Hong Kong,2022-03-30 23:14:18+00:00
"Stocks open slightly lower; Dow, S&amp;P 500 take breather after 4-day winning streak: https://t.co/VVxOJQF2KD",JNJNM1123,"PLAINFIELD, IL",2022-03-30 23:08:39+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,ProtestChris,"Washington, DC",2022-03-30 23:05:17+00:00
"RT @newsmax: U.S. stocks fell on Wednesday, with the Dow and S&amp;P 500 snapping four-session winning streaks, on waning signs of progress for…",PM20210,,2022-03-30 23:04:36+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,joelgriffith,"Washington, D.C.",2022-03-30 22:58:06+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,ArchertheKing,,2022-03-30 22:55:31+00:00
"📈 S&amp;P 500, Nasdaq 100 Slip on Inflation Jitters as Geopolitical Risk Boosts Oil Prices 📉

By @CraftyFin… https://t.co/LP0EH65EGP",EconomySquare,,2022-03-30 22:55:05+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Pugsley75499322,,2022-03-30 22:54:33+00:00
RT @CNBC: U.S. stocks slid on Wednesday after rallying in the previous session as investors monitored developments in Ukraine and the bond…,mu2la,アスクかフォドラか今はバーハラの悲劇 / feh 天界,2022-03-30 22:54:02+00:00
"RT @MarketWatch: All three major U.S. stock benchmarks closed lower Wednesday, with the Dow and S&amp;P 500 snapping four-day winning streaks,…",ForwardFla,Statewide,2022-03-30 22:54:00+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",robertwtravis,"South Boston, Boston",2022-03-30 22:50:13+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",balajsingh16,"Philadelphia, PA",2022-03-30 22:46:50+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,lisist_,,2022-03-30 22:44:51+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,4adybug,Dreaming Garret,2022-03-30 22:43:26+00:00
U.S. stocks slid on Wednesday after rallying in the previous session as investors monitored developments in Ukraine… https://t.co/UTQolkwYxx,yashthakrar1996,,2022-03-30 22:39:41+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,jenrobertson2o2,NYC escapee,2022-03-30 22:35:35+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",MrJohnJeffery,Huntsville,2022-03-30 22:32:56+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,curiouscristy,"Scottsdale, AZ",2022-03-30 22:26:41+00:00
"S&amp;amp;amp;amp;P 500, Nasdaq 100 Slip on Inflation Jitters as Geopolitical Risk Boosts Oil Prices  https://t.co/SgComiESVU",CrystalBallMkts,,2022-03-30 22:22:27+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,JohnVosilla,"Florida, USA",2022-03-30 22:22:14+00:00
"RT @ISABELNET_SA: 🇺🇸 EPS Growth

Should investors be worried about S&amp;P 500 EPS growth?
👉 https://t.co/aDsUtolLHx

h/t @SoberLook #markets #…",stanitut,"City of London, London",2022-03-30 22:20:36+00:00
"RT @ISABELNET_SA: 🇺🇸 EPS Growth

Should investors be worried about S&amp;P 500 EPS growth?
👉 https://t.co/aDsUtolLHx

h/t @SoberLook #markets #…",WSPZoo,,2022-03-30 22:19:07+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Tangibl3Assets,,2022-03-30 22:16:57+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",Sofigoodboy,,2022-03-30 22:16:54+00:00
"RT @ISABELNET_SA: 🇺🇸 EPS Growth

Should investors be worried about S&amp;P 500 EPS growth?
👉 https://t.co/aDsUtolLHx

h/t @SoberLook #markets #…",newsubscriber,,2022-03-30 22:16:28+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,GuanCharlo,,2022-03-30 22:07:49+00:00
"S&amp;P 500 E-mini #Futures #ES_F🔻1 Points (0.02%) to 4,600.5 #SP500 $SPX $SPY #futurestrading #future #Investment… https://t.co/dYbs5gyNTq",MITickWatcher,"California, USA",2022-03-30 22:07:20+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",NimaAbbas,"Kings Park, NY",2022-03-30 22:05:28+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,EcNmHc,"North Dakota, USA",2022-03-30 22:03:54+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,NasdaqNancy69,🇨🇦,2022-03-30 22:01:41+00:00
