CONTRACT,SPY PRICE,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE,PRICEOPEN,PRICECLOSE,ROI %,INFLATION%,y,VIX PRICE
474.0 2022-01-07,476.43,1/7/2022,4.27,0.62598,0.05055,0.21136,-0.28773,0.03788,0.13515,1,4.26,474,0.005,-2.43,4.26,0.55,-87.08920188,0.8,0.0,17.68
475.0 2022-01-07,476.43,1/7/2022,4.27,0.57735,0.05466,0.21805,-0.28592,0.03511,0.12942,32,3.62,475,0.003,-1.43,3.62,0.39,-89.22651934,0.8,0.0,17.68
476.0 2022-01-07,476.43,1/7/2022,4.27,0.52223,0.05633,0.22191,-0.28818,0.03208,0.12704,22,3.04,476,0.001,-0.43,3.04,0.29,-90.46052632,0.8,0.0,17.68
477.0 2022-01-07,476.43,1/7/2022,4.27,0.46442,0.0576,0.22168,-0.28057,0.02945,0.12402,161,2.46,477,0.001,0.57,2.46,0.21,-91.46341463,0.8,0.0,17.68
478.0 2022-01-07,476.43,1/7/2022,4.27,0.4046,0.05815,0.21613,-0.26381,0.02541,0.11971,0,1.51,478,0.003,1.57,1.51,0.15,-90.06622517,0.8,0.0,17.68
479.0 2022-01-07,476.43,1/7/2022,4.27,0.3441,0.05669,0.20539,-0.243,0.02228,0.11651,18,1.47,479,0.005,2.57,1.47,0.11,-92.5170068,0.8,0.0,17.68
480.0 2022-01-07,476.43,1/7/2022,4.27,0.28555,0.05342,0.18943,-0.21847,0.01853,0.11426,3,1.14,480,0.007,3.57,1.14,0.09,-92.10526316,0.8,0.0,17.68
481.0 2022-01-07,476.43,1/7/2022,4.27,0.22938,0.04873,0.17001,-0.18849,0.01505,0.11162,0,0.59,481,0.01,4.57,0.59,0.07,-88.13559322,0.8,0.0,17.68
482.0 2022-01-07,476.43,1/7/2022,4.27,0.18152,0.04295,0.14686,-0.15945,0.01129,0.11027,1,0.6,482,0.012,5.57,0.6,0.06,-90.0,0.8,0.0,17.68
483.0 2022-01-07,476.43,1/7/2022,4.27,0.13999,0.03651,0.12491,-0.13086,0.00907,0.1094,5,0.44,483,0.014,6.57,0.44,0.04,-90.90909091,0.8,0.0,17.68
484.0 2022-01-07,476.43,1/7/2022,4.27,0.10348,0.03001,0.10159,-0.102,0.00635,0.10735,0,0.19,484,0.016,7.57,0.19,0.03,-84.21052632,0.8,0.0,17.68
485.0 2022-01-07,476.43,1/7/2022,4.27,0.07657,0.02406,0.08136,-0.07918,0.00486,0.10703,0,0.12,485,0.018,8.57,0.12,0.03,-75.0,0.8,0.0,17.68
486.0 2022-01-07,476.43,1/7/2022,4.27,0.0553,0.01868,0.06334,-0.0607,0.00342,0.10757,0,0.08,486,0.02,9.57,0.08,0.02,-75.0,0.8,0.0,17.68
487.0 2022-01-07,476.43,1/7/2022,4.27,0.0391,0.01429,0.04786,-0.04425,0.00209,0.10749,0,0.06,487,0.022,10.57,0.06,0.01,-83.33333333,0.8,0.0,17.68
488.0 2022-01-07,476.43,1/7/2022,4.27,0.02852,0.01072,0.03713,-0.03303,0.00202,0.10768,0,0.04,488,0.024,11.57,0.04,0.01,-75.0,0.8,0.0,17.68
489.0 2022-01-07,476.43,1/7/2022,4.27,0.02331,0.00888,0.03151,-0.02878,0.00105,0.1129,0,0.03,489,0.026,12.57,0.03,0.01,-66.66666667,0.8,0.0,17.68
490.0 2022-01-07,476.43,1/7/2022,4.27,0.01569,0.00635,0.02257,-0.01973,0.00132,0.11196,0,0.02,490,0.028,13.57,0.02,0.02,0.0,0.8,2.0,17.68
491.0 2022-01-07,476.43,1/7/2022,4.27,0.01171,0.00474,0.01717,-0.01484,0.00056,0.114,0,0.01,491,0.031,14.57,0.01,0.01,0.0,0.8,2.0,17.68
474.0 2022-01-07,475.02,1/7/2022,4.25,0.5553,0.05516,0.21863,-0.2906,0.03403,0.12962,454,3.35,474,0.002,-1.02,4.26,0.55,-87.08920188,0.8,0.0,18.11
475.0 2022-01-07,475.02,1/7/2022,4.25,0.49954,0.05716,0.22116,-0.2865,0.03056,0.12579,1513,2.75,475,0.0,-0.02,3.62,0.39,-89.22651934,0.8,0.0,18.11
476.0 2022-01-07,475.02,1/7/2022,4.25,0.44251,0.05748,0.21924,-0.27843,0.02812,0.12416,1372,2.25,476,0.002,0.98,3.04,0.29,-90.46052632,0.8,0.0,18.11
477.0 2022-01-07,475.02,1/7/2022,4.25,0.38188,0.0572,0.21111,-0.2609,0.02404,0.12075,1606,1.76,477,0.004,1.98,2.46,0.21,-91.46341463,0.8,0.0,18.11
478.0 2022-01-07,475.02,1/7/2022,4.25,0.32289,0.05492,0.19891,-0.23999,0.02073,0.11781,1374,1.36,478,0.006,2.98,1.51,0.15,-90.06622517,0.8,0.0,18.11
479.0 2022-01-07,475.02,1/7/2022,4.25,0.2666,0.05129,0.18209,-0.21266,0.01701,0.11508,734,1.04,479,0.008,3.98,1.47,0.11,-92.5170068,0.8,0.0,18.11
480.0 2022-01-07,475.02,1/7/2022,4.25,0.21442,0.04626,0.16203,-0.18471,0.01387,0.11358,3613,0.75,480,0.01,4.98,1.14,0.09,-92.10526316,0.8,0.0,18.11
481.0 2022-01-07,475.02,1/7/2022,4.25,0.16673,0.04041,0.1392,-0.15243,0.01053,0.11131,456,0.54,481,0.013,5.98,0.59,0.07,-88.13559322,0.8,0.0,18.11
482.0 2022-01-07,475.02,1/7/2022,4.25,0.12673,0.03409,0.11659,-0.12343,0.00859,0.11065,462,0.38,482,0.015,6.98,0.6,0.06,-90.0,0.8,0.0,18.11
483.0 2022-01-07,475.02,1/7/2022,4.25,0.09431,0.02774,0.09432,-0.09594,0.00637,0.10951,254,0.28,483,0.017,7.98,0.44,0.04,-90.90909091,0.8,0.0,18.11
484.0 2022-01-07,475.02,1/7/2022,4.25,0.06723,0.02179,0.07309,-0.0716,0.00476,0.10744,382,0.21,484,0.019,8.98,0.19,0.03,-84.21052632,0.8,0.0,18.11
485.0 2022-01-07,475.02,1/7/2022,4.25,0.05042,0.01712,0.05784,-0.05549,0.00336,0.10853,947,0.13,485,0.021,9.98,0.12,0.03,-75.0,0.8,0.0,18.11
486.0 2022-01-07,475.02,1/7/2022,4.25,0.03557,0.01293,0.04427,-0.04123,0.0026,0.10851,718,0.09,486,0.023,10.98,0.08,0.02,-75.0,0.8,0.0,18.11
487.0 2022-01-07,475.02,1/7/2022,4.25,0.02391,0.00945,0.03246,-0.02907,0.00147,0.10831,137,0.06,487,0.025,11.98,0.06,0.01,-83.33333333,0.8,0.0,18.11
488.0 2022-01-07,475.02,1/7/2022,4.25,0.01935,0.00766,0.02722,-0.02514,0.00114,0.11241,83,0.05,488,0.027,12.98,0.04,0.01,-75.0,0.8,0.0,18.11
489.0 2022-01-07,475.02,1/7/2022,4.25,0.01369,0.00562,0.02023,-0.01759,0.00136,0.1131,40,0.04,489,0.029,13.98,0.03,0.01,-66.66666667,0.8,0.0,18.11
490.0 2022-01-07,475.02,1/7/2022,4.25,0.01132,0.00449,0.01672,-0.01538,0.00097,0.11676,317,0.03,490,0.032,14.98,0.02,0.02,0.0,0.8,2.0,18.11
491.0 2022-01-07,475.02,1/7/2022,4.25,0.00704,0.00305,0.01087,-0.00977,0.00063,0.1156,15,0.02,491,0.034,15.98,0.01,0.01,0.0,0.8,2.0,18.11
474.0 2022-01-07,476.72,1/7/2022,4.23,0.65063,0.05312,0.20602,-0.26242,0.03827,0.12657,788,4.25,474,0.006,-2.72,4.26,0.55,-87.08920188,0.8,0.0,17.25
475.0 2022-01-07,476.72,1/7/2022,4.23,0.59814,0.05673,0.2151,-0.26963,0.03581,0.12326,3154,3.54,475,0.004,-1.72,3.62,0.39,-89.22651934,0.8,0.0,17.25
476.0 2022-01-07,476.72,1/7/2022,4.23,0.54118,0.05946,0.22061,-0.27238,0.03366,0.12068,3427,2.98,476,0.002,-0.72,3.04,0.29,-90.46052632,0.8,0.0,17.25
477.0 2022-01-07,476.72,1/7/2022,4.23,0.48033,0.06117,0.22125,-0.26774,0.02964,0.11744,2840,2.39,477,0.001,0.28,2.46,0.21,-91.46341463,0.8,0.0,17.25
478.0 2022-01-07,476.72,1/7/2022,4.23,0.41745,0.06168,0.21717,-0.2552,0.02651,0.11422,2053,1.9,478,0.003,1.28,1.51,0.15,-90.06622517,0.8,0.0,17.25
479.0 2022-01-07,476.72,1/7/2022,4.23,0.35342,0.0603,0.20623,-0.23615,0.02195,0.11143,1246,1.45,479,0.005,2.28,1.47,0.11,-92.5170068,0.8,0.0,17.25
480.0 2022-01-07,476.72,1/7/2022,4.23,0.29127,0.05692,0.19102,-0.21136,0.01883,0.10896,4607,1.09,480,0.007,3.28,1.14,0.09,-92.10526316,0.8,0.0,17.25
481.0 2022-01-07,476.72,1/7/2022,4.23,0.23094,0.05192,0.16948,-0.18055,0.01449,0.10525,592,0.77,481,0.009,4.28,0.59,0.07,-88.13559322,0.8,0.0,17.25
482.0 2022-01-07,476.72,1/7/2022,4.23,0.17757,0.04539,0.14501,-0.1475,0.01103,0.10322,737,0.54,482,0.011,5.28,0.6,0.06,-90.0,0.8,0.0,17.25
483.0 2022-01-07,476.72,1/7/2022,4.23,0.13237,0.03795,0.11958,-0.11793,0.00828,0.10177,412,0.36,483,0.013,6.28,0.44,0.04,-90.90909091,0.8,0.0,17.25
484.0 2022-01-07,476.72,1/7/2022,4.23,0.0945,0.03043,0.09493,-0.08833,0.00605,0.10023,503,0.27,484,0.015,7.28,0.19,0.03,-84.21052632,0.8,0.0,17.25
485.0 2022-01-07,476.72,1/7/2022,4.23,0.06832,0.02368,0.07346,-0.06743,0.00476,0.09995,1105,0.16,485,0.017,8.28,0.12,0.03,-75.0,0.8,0.0,17.25
486.0 2022-01-07,476.72,1/7/2022,4.23,0.04671,0.01773,0.05436,-0.04812,0.00291,0.09878,738,0.09,486,0.019,9.28,0.08,0.02,-75.0,0.8,0.0,17.25
487.0 2022-01-07,476.72,1/7/2022,4.23,0.0336,0.0135,0.04296,-0.03636,0.0024,0.10047,205,0.06,487,0.022,10.28,0.06,0.01,-83.33333333,0.8,0.0,17.25
488.0 2022-01-07,476.72,1/7/2022,4.23,0.02493,0.01032,0.03339,-0.02925,0.00179,0.10357,84,0.05,488,0.024,11.28,0.04,0.01,-75.0,0.8,0.0,17.25
489.0 2022-01-07,476.72,1/7/2022,4.23,0.01684,0.0074,0.02434,-0.0202,0.00157,0.10336,53,0.04,489,0.026,12.28,0.03,0.01,-66.66666667,0.8,0.0,17.25
490.0 2022-01-07,476.72,1/7/2022,4.23,0.01271,0.0054,0.01787,-0.01516,0.00125,0.10487,392,0.03,490,0.028,13.28,0.02,0.02,0.0,0.8,2.0,17.25
491.0 2022-01-07,476.72,1/7/2022,4.23,0.01165,0.00487,0.0168,-0.01523,0.00087,0.11225,98,0.01,491,0.03,14.28,0.01,0.01,0.0,0.8,2.0,17.25
474.0 2022-01-07,476.17,1/7/2022,4.21,0.62111,0.05483,0.21107,-0.27113,0.03735,0.12584,894,3.95,474,0.005,-2.17,4.26,0.55,-87.08920188,0.8,0.0,17.27
475.0 2022-01-07,476.17,1/7/2022,4.21,0.56664,0.05814,0.21792,-0.27439,0.03423,0.1228,3453,3.2,475,0.002,-1.17,3.62,0.39,-89.22651934,0.8,0.0,17.27
476.0 2022-01-07,476.17,1/7/2022,4.21,0.50787,0.06058,0.22031,-0.27194,0.03151,0.11885,4213,2.65,476,0.0,-0.17,3.04,0.29,-90.46052632,0.8,0.0,17.27
477.0 2022-01-07,476.17,1/7/2022,4.21,0.44552,0.06164,0.21832,-0.26285,0.02812,0.11641,3898,2.03,477,0.002,0.83,2.46,0.21,-91.46341463,0.8,0.0,17.27
478.0 2022-01-07,476.17,1/7/2022,4.21,0.38174,0.06119,0.21082,-0.24593,0.02389,0.11256,2391,1.6,478,0.004,1.83,1.51,0.15,-90.06622517,0.8,0.0,17.27
479.0 2022-01-07,476.17,1/7/2022,4.21,0.31779,0.05878,0.19779,-0.22203,0.01999,0.10957,1644,1.19,479,0.006,2.83,1.47,0.11,-92.5170068,0.8,0.0,17.27
480.0 2022-01-07,476.17,1/7/2022,4.21,0.25587,0.0545,0.17876,-0.19393,0.0167,0.10683,5825,0.9,480,0.008,3.83,1.14,0.09,-92.10526316,0.8,0.0,17.27
481.0 2022-01-07,476.17,1/7/2022,4.21,0.20024,0.04843,0.15621,-0.16313,0.01263,0.10484,692,0.61,481,0.01,4.83,0.59,0.07,-88.13559322,0.8,0.0,17.27
482.0 2022-01-07,476.17,1/7/2022,4.21,0.15015,0.04129,0.12947,-0.12931,0.00931,0.10154,842,0.42,482,0.012,5.83,0.6,0.06,-90.0,0.8,0.0,17.27
483.0 2022-01-07,476.17,1/7/2022,4.21,0.10976,0.03372,0.1049,-0.10116,0.00711,0.10111,485,0.28,483,0.014,6.83,0.44,0.04,-90.90909091,0.8,0.0,17.27
