QUOTE_READTIME,UNDERLYING_LAST,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE,CONTRACT
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.613100, 0.035560, 0.193560, -0.433390, 0.035380,0.21263,10.0,5.93,430.0,0.007,-2.9499999999999886,430.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.579140, 0.037300, 0.197810, -0.431960, 0.033440,0.20709,1.0,5.21,431.0,0.004,-1.9499999999999886,431.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.541440, 0.038580, 0.201390, -0.430350, 0.031570,0.20271,0.0,5.61,432.0,0.002,-0.9499999999999886,432.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.502670, 0.039780, 0.202240, -0.423160, 0.028860,0.19849,1.0,4.01,433.0,0.0,0.05000000000001137,433.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.461990, 0.040630, 0.200810, -0.410400, 0.026770,0.19261,13.0,3.42,434.0,0.002,1.0500000000000114,434.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.419260, 0.040910, 0.197920, -0.393060, 0.024810,0.18875,6.0,2.86,435.0,0.005,2.0500000000000114,435.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.376250, 0.040710, 0.192370, -0.371130, 0.022150,0.18358,0.0,3.17,436.0,0.007,3.0500000000000114,436.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.332630, 0.040050, 0.183730, -0.343990, 0.019420,0.17871,6.0,1.97,437.0,0.009,4.050000000000011,437.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.310030, 0.039410, 0.179100, -0.328770, 0.017890,0.17655,2.0,1.79,437.5,0.011,4.550000000000011,437.5 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.288240, 0.038600, 0.173120, -0.312420, 0.017300,0.1748,2.0,1.61,438.0,0.012,5.050000000000011,438.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.246250, 0.036570, 0.159670, -0.278090, 0.013990,0.17014,6.0,1.26,439.0,0.014,6.050000000000011,439.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.205380, 0.033800, 0.144640, -0.242710, 0.012310,0.16631,1.0,1.0,440.0,0.016,7.050000000000011,440.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.168520, 0.030540, 0.127210, -0.206710, 0.009760,0.16173,2.0,0.77,441.0,0.019,8.050000000000011,441.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.134870, 0.027000, 0.110300, -0.172190, 0.007450,0.15856,0.0,0.92,442.0,0.021,9.050000000000011,442.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.121290, 0.025110, 0.101880, -0.157500, 0.007400,0.1579,0.0,0.8,442.5,0.022,9.550000000000011,442.5 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.109170, 0.023370, 0.094830, -0.143790, 0.006350,0.15769,51.0,0.4,443.0,0.023,10.050000000000011,443.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.085390, 0.019690, 0.079080, -0.115960, 0.004660,0.15608,2.0,0.3,444.0,0.026,11.050000000000011,444.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.066570, 0.016450, 0.065450, -0.095090, 0.004020,0.15587,2.0,0.22,445.0,0.028,12.050000000000011,445.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.051380, 0.013550, 0.053990, -0.075730, 0.003120,0.15474,1.0,0.17,446.0,0.03,13.050000000000011,446.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.040500, 0.011070, 0.044540, -0.061120, 0.002370,0.15627,2.0,0.14,447.0,0.032,14.050000000000011,447.0 2021-10-08
 2021-10-04 09:30,432.95, 2021-10-08,4.27, 0.036440, 0.010120, 0.040320, -0.055450, 0.001770,0.15638,0.0,0.18,447.5,0.034,14.550000000000011,447.5 2021-10-08
 2021-10-04 10:00,432.68, 2021-10-08,4.25, 0.601610, 0.035130, 0.195040, -0.448600, 0.034530,0.21713,135.0,5.85,430.0,0.006,-2.680000000000007,430.0 2021-10-08
 2021-10-04 10:00,432.68, 2021-10-08,4.25, 0.567480, 0.036530, 0.199050, -0.448270, 0.032560,0.2126,174.0,5.16,431.0,0.004,-1.6800000000000068,431.0 2021-10-08
 2021-10-04 10:00,432.68, 2021-10-08,4.25, 0.530600, 0.037950, 0.201120, -0.442270, 0.030200,0.20723,379.0,4.54,432.0,0.002,-0.6800000000000068,432.0 2021-10-08
